entity, label, occurrences
Dancing on Ice, ORG, 6
Kashmir, LOC, 6
2004, DATE, 6
Danny O'Reilly, PERSON, 6
Curly, GPE, 6
sixth, ORDINAL, 6
Hayley Cropper, PERSON, 6
23-year-old, DATE, 6
Nuneaton, GPE, 6
Tracy Brabin, PERSON, 6
Marc Baylis, PERSON, 6
Ruairi, PERSON, 6
8, CARDINAL, 6
Valentine, PERSON, 6
Dorset, ORG, 6
Downton Abbey, ORG, 6
Ian Hyland - Mirror, PERSON, 6
one-night, TIME, 6
Nick Tilsley's, PERSON, 6
Rita, EVENT, 6
Ex Coronation Street, ORG, 6
Turku, GPE, 6
The Globe and Mail, ORG, 6
Tom Price, PERSON, 6
Daily Star, ORG, 6
THREE, CARDINAL, 6
Orlando, GPE, 6
Hampshire, GPE, 6
eight, CARDINAL, 6
Adam, PERSON, 6
daytime, TIME, 6
a decade, DATE, 6
Sophie Austin, PERSON, 6
27-year-old, DATE, 6
Robert Preston's, PERSON, 6
Scott Wright, PERSON, 6
Jude, PERSON, 6
Colson Smith, PERSON, 6
Miami, GPE, 6
Jennie McAlpine's, PERSON, 6
KILL, ORG, 6
23 weeks, DATE, 6
Maria Connor, ORG, 6
Harry Visinoni, PERSON, 6
English, NORP, 6
Holly Willoughby, PERSON, 6
the National Television Awards, ORG, 6
Carla Connor's, PERSON, 6
Sean, NORP, 6
tomorrow, DATE, 6
Lorraine Kelly, PERSON, 6
Matt Baker, PERSON, 6
New Zealand, GPE, 6
the age of 77, DATE, 6
the Eiffel Tower, LOC, 6
Adam’s, ORG, 6
Manchester city, GPE, 6
A Celebrity, WORK_OF_ART, 6
Premier League, ORG, 6
AGAIN, ORG, 6
Kym, PERSON, 6
Jean Alexander, PERSON, 6
TOWIE, ORG, 6
Les, PERSON, 6
11 years, DATE, 6
Bistro, LOC, 6
Houston, GPE, 6
9, CARDINAL, 6
Four, CARDINAL, 5
ROB Donovan, PERSON, 5
Ariana Grande, ORG, 5
Bethany Platt in Coronation Street, WORK_OF_ART, 5
Archie, GPE, 5
Daniel Osbourne's, PERSON, 5
Christchurch, ORG, 5
Kym’s, ORG, 5
39, DATE, 5
Northern California, LOC, 5
Thousands, CARDINAL, 5
Colin Callen, PERSON, 5
decades, DATE, 5
Maria Connor's, PERSON, 5
Television &, ORG, 5
24-year-old, DATE, 5
21, CARDINAL, 5
earlier this year, DATE, 5
Sally Dynevor, LOC, 5
Jeremy Kyle, PERSON, 5
fourth, ORDINAL, 5
Chris Fountain, PERSON, 5
Qatar Airways, ORG, 5
Kim Kardashian, PERSON, 5
St Paul's, PERSON, 5
Kerry Bennett, PERSON, 5
83, CARDINAL, 5
The Sun Daniel Osbourne, ORG, 5
Charlie Condou, PERSON, 5
DAVID Platt, PERSON, 5
Africa, LOC, 5
37, DATE, 5
Chesney Brown's, ORG, 5
eighth, ORDINAL, 5
16, DATE, 5
Maria, LOC, 5
Susan, PERSON, 5
Islamic, NORP, 5
Mirror, ORG, 5
Xi Jinping, PERSON, 5
Chinese, NORP, 5
PAT Phelan, PERSON, 5
Rosie Webster's, PERSON, 5
Bet Lynch, PERSON, 5
This Morning, WORK_OF_ART, 5
Gemma Winter, PERSON, 5
Les Dennis, PERSON, 5
Toronto, GPE, 5
weekly, DATE, 5
Down, PERSON, 5
just hours, TIME, 5
the New Year, EVENT, 5
Brian Packham, PERSON, 5
Norris Cole, ORG, 5
Lara, PRODUCT, 5
Gary Windass', PERSON, 5
2005, DATE, 5
Harry Flagg, PERSON, 5
56, DATE, 5
Sally Dynevor, PERSON, 5
Weatherfield’s, ORG, 5
Maryland, GPE, 5
Netflix, GPE, 5
Hamburg, GPE, 5
Coronation Street', FAC, 5
June Brown, PERSON, 5
Michael Parkinson, PERSON, 5
Travis Air Force Base, ORG, 5
Valley, LOC, 5
Chris, PERSON, 5
Cinderella, PERSON, 5
three months ago, DATE, 5
Dozens, CARDINAL, 5
Muslim, NORP, 5
EU, ORG, 5
Italy, GPE, 5
Nicola Rubenstein, PERSON, 5
Emmerdale, GPE, 5
days, DATE, 5
more than 20 years, DATE, 5
just days, DATE, 5
2020, DATE, 5
Bethany Platt’s, ORG, 5
MICHELLE Keegan, PERSON, 5
Queens, GPE, 5
Queensland, GPE, 5
North Carolina, GPE, 5
Madagascar, GPE, 5
Corrie, NORP, 5
Hurricane Irma, EVENT, 5
Notre Dame, FAC, 5
Sally Metcalfe’s, PERSON, 5
Christopher Harper, PERSON, 5
Todd Grimshaw's, PERSON, 5
30-year-old, DATE, 5
a year, DATE, 5
5, CARDINAL, 5
Sun, PERSON, 5
Yorkshire, PERSON, 5
Celtic, NORP, 5
Faye Brooks, PERSON, 5
more than 200, CARDINAL, 5
Wetherfield, PERSON, 5
Daily Star, WORK_OF_ART, 5
Chesney, PRODUCT, 5
Twitter, PERSON, 5
PLATT, ORG, 5
KYM MARSH, ORG, 5
83, DATE, 5
Manchester Magistrates' Court, ORG, 5
Sally Carman, PERSON, 5
Faye Brookes, ORG, 5
January, DATE, 5
NATHAN Curtis, ORG, 5
400, CARDINAL, 5
Illinois, GPE, 5
BAFTA, ORG, 5
Sinead, PERSON, 5
six months, DATE, 5
year, DATE, 5
at least one, CARDINAL, 5
Mike Baldwin, PERSON, 5
three years ago, DATE, 5
Shayne Ward, FAC, 5
Molenbeek, GPE, 5
BBC News, ORG, 5
Celebrity, PERSON, 5
Len, PERSON, 5
Air Force, ORG, 5
Dallas, GPE, 5
earlier this week, DATE, 5
Stoke, ORG, 5
SEVEN, CARDINAL, 5
36, DATE, 4
Fat: The Healthy Option, WORK_OF_ART, 4
Eva Prince, PERSON, 4
Martyn Hett's, PERSON, 4
JustGiving, ORG, 4
Greater Manchester, GPE, 4
Menden, GPE, 4
EPA, ORG, 4
Jerusalem, GPE, 4
Toyah Battersby's, PERSON, 4
National Television Awards, ORG, 4
Chris Hargreaves, PERSON, 4
MICHELLE Collins, PERSON, 4
Salford, NORP, 4
The Real Marigold Hotel, ORG, 4
Kirk Sutherland, PERSON, 4
the week, DATE, 4
EXPOSED, ORG, 4
Botswana, PERSON, 4
Yesterday, DATE, 4
Soap Award, PERSON, 4
NZ, GPE, 4
Coronation Street - Mirror, FAC, 4
Irish Mirror Online, ORG, 4
53, DATE, 4
Aidan Connor's, PERSON, 4
Sylvain Longchambon, PERSON, 4
George Alsford, PERSON, 4
Rana Nazir's, PERSON, 4
19, CARDINAL, 4
Coronation Street Bethany Platt, FAC, 4
Svedka, GPE, 4
Bistro, ORG, 4
Danny Dyer, PERSON, 4
CBS News, ORG, 4
Blanche Hunt, ORG, 4
Harry, PERSON, 4
Katy, PERSON, 4
Andy Carver’s, PERSON, 4
Rita Tanner’s, PERSON, 4
BILLY Mayhew, PERSON, 4
Adam Crofts, PERSON, 4
