entity, label, occurrences
1 December, DATE, 2
Chickenpox, ORG, 2
the next two weeks, DATE, 2
Southern DHB, ORG, 2
season, DATE, 2
Bharat Biotech, ORG, 2
The World Health Organisation (WHO, ORG, 2
277, CARDINAL, 2
3 million to 4 million, CARDINAL, 2
seventh, ORDINAL, 2
Democratic Republic of Congo, GPE, 2
more than 400, CARDINAL, 2
California&apos;s, PERSON, 2
Jasper, PERSON, 2
Hawaii, GPE, 2
Dozens, CARDINAL, 2
13, DATE, 2
as early as next spring, DATE, 2
the Canadian Food Inspection Agency, ORG, 2
Zika - LA Times, ORG, 2
90%, PERCENT, 2
Robert De Niro Pulls, PERSON, 2
World Health Organization, ORG, 2
Russians, NORP, 2
1,000, CARDINAL, 2
Zika, GPE, 2
two months, DATE, 2
The World Health Organisation, ORG, 2
120,000, MONEY, 2
10, DATE, 2
six years ago, DATE, 2
Vienna, GPE, 2
Amelia Scudder, ORG, 2
billions of dollars, MONEY, 2
Save the Children, ORG, 2
7, CARDINAL, 2
Health Ministry, ORG, 2
millions of dollars, MONEY, 2
Central America, LOC, 2
NPR Scientists, ORG, 2
Vladimir Duthiers, PERSON, 2
Jill Hennessy, PERSON, 2
April 6, DATE, 2
23, CARDINAL, 2
The Boston Globe All, ORG, 2
Raghad, PERSON, 2
Freeman-Kinsey, PERSON, 2
11, CARDINAL, 2
Malawi, GPE, 2
Tribeca Film Festival, PERSON, 2
Hamilton, PERSON, 2
a few years, DATE, 2
more than 100, CARDINAL, 2
CSL, ORG, 2
Butantan, GPE, 2
Pharmac, NORP, 2
EU, ORG, 2
$1.1 billion, MONEY, 2
May, DATE, 2
Amesh Adalja, PERSON, 2
Quetta, ORG, 2
Reuters.com, ORG, 2
Grade 7, FAC, 2
30 years, DATE, 2
almost £3,000, MONEY, 2
64%, PERCENT, 2
Canberra, PERSON, 2
ACT, ORG, 2
more than 14 million, CARDINAL, 2
The United States, GPE, 2
L.A., GPE, 2
$5m, MONEY, 2
More than 150, CARDINAL, 2
Emergent BioSolutions, ORG, 2
33, CARDINAL, 2
Greece, GPE, 2
more than a decade, DATE, 2
