,text
46,"['oxford', 'trial', 'look', 'interim', 'phase', 'iii', 'data', '53', 'infection', 'investigator', 'oxford', 'university', 'start', 'initial', 'analysis', 'data', 'trial', 'experimental', 'vaccine', 'developing', 'astrazeneca', '53', 'infection', 'among', 'volunteer', 'study', 'chief', 'investigator', 'said', 'thursday', 'oxford', 'vaccine', 'group', 'director', 'andrew', 'pollard', 'said', 'medium', 'briefing', 'lot', 'case', 'infection', 'phase', 'iii', 'trial', 'britain', 'brazil', 'south', 'africa', 'first', 'two', 'set', 'interim', 'data', 'vaccine', 'trial', 'pfizer', 'biontech', 'last', 'week', 'moderna', 'monday', 'released', '90', 'infection', 'among', 'volunteer']"
47,"['biontech', 'startup', 'pharma', 'superstar', 'economy', 'finance', 'news', 'german', 'perspective', 'dw', 'german', 'startup', 'biontech', 'recieved', 'approval', 'vaccine', 'would', 'possible', 'without', 'alliance', 'pfizer', 'healthy', 'dose', 'venture', 'capital']"
48,"['step', 'step', 'production', 'journey', 'germany', 'belgium', 'pfizer', 'breakthrough', 'jab', 'daily', 'mail', 'online', 'hope', 'vaccine', 'christmas', 'uk', 'ignited', 'yesterday', 'promising', 'result', 'pfizer', 'biontech', 'official', 'say', 'nh', 'gearing', 'start', 'delivering', 'one', 'week']"
49,"['coronavirus', 'pfizer', 'supply', 'u', 'additional', '100', 'million', 'vaccine', 'dos', 'pfizer', 'biontech', 'supply', 'u', 'additional', '100', 'million', 'dos', 'vaccine']"
50,"['pfizer', 'say', 'trial', 'show', 'vaccine', 'safe', 'effective', 'adolescent', 'rnz', 'news', 'pfizer', 'biontech', 'vaccine', 'safe', 'effective', 'produce', 'robust', 'antibody', 'response', '12', '15', 'year', 'old', 'company', 'say']"
51,"['biontech', 'ceo', 'high', 'chance', 'vaccine', 'work', 'uk', 'variant', 'ceo', 'said', 'take', 'around', 'two', 'week', 'get', 'data', 'experiment', 'show', 'definitively', 'whether', 'vaccine', 'work', 'new', 'variant']"
52,"['biontech', 'vaccine', 'company', 'seek', 'emergency', 'u', 'authorization', 'friday', 'ceo', 'say', 'cnn', 'german', 'company', 'biontech', 'partner', 'drug', 'giant', 'pfizer', 'ask', 'u', 'friday', 'allow', 'emergency', 'use', 'vaccine', 'candidate', 'ceo', 'ugur', 'sahin', 'told', 'cnn', 'exclusive', 'interview', 'wednesday']"
53,"['pfizer', 'covid', 'vaccine', 'need', 'know', 'chicago', 'tribune', 'pfizer', 'partner', 'german', 'company', 'biontech', 'announced', 'preliminary', 'result', 'suggested', 'vaccine', '90', 'effective']"
54,"['coronavirus', 'joe', 'biden', 'receives', 'first', 'dose', 'vaccine', 'joe', 'biden', 'today', 'received', 'first', 'dose', 'pfizer', 'biontech', 'coronavirus', 'vaccine', 'p']"
55,"['dow', 'open', 'higher', 'upbeat', 'vaccine', 'news', 'coronavirus', 'pandemic', 'news', 'al', 'jazeera', 'pfizer', 'biontech', 'said', 'seek', 'emergency', 'use', 'authorization', 'fda', 'vaccine', 'within', 'day']"
56,"['tell', 'u', 'think', 'coronavirus', 'vaccine', 'get', 'back', 'normal', 'mirror', 'online', 'want', 'know', 'thought', 'mirror', 'reader', 'potential', 'coronavirus', 'vaccine', 'week', 'pfizer', 'biontech', 'announced', 'trial', 'jab', 'hugely', 'succesful']"
57,"['pfizer', 'biontech', 'reach', 'billion', 'vaccine', 'deal', 'u', 'government', 'boston', 'globe', 'pfizer', 'biontech', 'reach', 'billion', 'vaccine', 'deal', 'government']"
58,"['vaccine', 'pioneer', 'biontech', 'still', 'unprofitable', 'maybe', 'longer', 'economy', 'finance', 'news', 'german', 'perspective', 'dw', 'day', 'biontech', 'announced', 'developed', 'vaccine', 'german', 'firm', 'unveiled', 'earnings', 'far', 'match', 'scientific', 'achievement', 'fortune', 'could', 'soon', 'turning', 'around']"
59,"['pfizer', 'covid', 'vaccine', 'safe', 'effective', 'child', 'aged', '12', '15', 'new', 'trial', 'data', 'show', 'independent', 'vaccine', 'developed', 'pfizer', 'biontech', 'safe', 'provides', 'high', 'level', 'protection', 'child', 'age', '12', '15', 'new', 'trial', 'data', 'show']"
60,"['pfizer', 'vaccine', 'work', 'brazilian', 'covid', 'variant', 'study', 'suggests', 'daily', 'mail', 'online', 'vaccine', 'pfizer', 'biontech', 'able', 'neutralize', 'new', 'variant', 'coronavirus', 'spreading', 'rapidly', 'brazil', 'according', 'laboratory', 'study', 'published', 'monday']"
61,"['pfizer', 'supply', 'additional', '100', 'million', 'dos', 'coronavirus', 'vaccine', 'pfizer', 'biontech', 'supply', 'additional', '100', 'million', 'dos', 'vaccine', 'new', 'agreement']"
62,"['coronavirus', 'vaccination', 'may', 'cause', 'rare', 'blood', 'disorder', 'least', '36', 'people', 'report', 'fox', 'news', 'least', '36', 'people', 'may', 'developed', 'rare', 'blood', 'disorder', 'known', 'immune', 'thrombocytopenia', 'itp', 'taking', 'either', 'pfizer', 'biontech', 'moderna', 'vaccine', 'according', 'report']"
63,"['q', 'vaccine', 'race', 'drugmaker', 'pfizer', 'inc', 'german', 'partner', 'biontech', 'se', 'released', 'final', 'trial', 'data', 'wednesday', 'showed', 'shot', '95', 'effective', 'stopping', 'highest', 'efficacy', 'rate', 'far', 'company', 'first', 'publish', 'final', 'phase', 'iii', 'efficacy', 'safety', 'data', 'plan', 'apply', 'emergency', 'use', 'authorization', 'eua', 'united', 'state', 'within', 'day', 'monday', 'another', 'pharmaceutical', 'company', 'moderna', 'inc', 'released', 'interim', 'data', 'showing', 'vaccine', 'worked', 'large', 'clinical', 'trial', 'efficacy', 'rate']"
64,"['first', 'dos', 'pfizer', 'coronavirus', 'vaccine', 'arrive', 'uk', 'early', 'tomorrow', 'mirror', 'online', 'initial', 'dos', 'pfizer', 'biontech', 'vaccine', 'kept', 'box', 'keep', 'cold', 'shipped', 'ferry', 'plane', 'mass', 'vaccination', 'campaign', 'begin', 'next', 'week']"
65,"['hacker', 'steal', 'pfizer', 'biontech', 'vaccine', 'info', 'eu', 'agency', 'pfizer', 'biontech', 'say', 'hacker', 'stole', 'information', 'coronavirus', 'vaccine', 'european', 'union', 'drug', 'european', 'medicine', 'agency', 'confirmed', 'wednesday', 'hit']"
66,"['biontech', 'plucky', 'german', 'upstart', 'lead', 'vaccine', 'race', 'france', '24', 'biontech', 'plucky', 'german', 'upstart', 'lead', 'vaccine', 'race']"
