,Country,Outlet,Month-Year,Ratio
336,USA,inquirer.com,Apr-2020,0.006532897806812879
337,USA,csmonitor.com,Apr-2020,0.0026666666666666666
338,USA,nytimes.com,Apr-2020,0.011598587997982855
339,USA,chicagotribune.com,Apr-2020,0.0019817677368212444
340,International,aljazeera.com,Apr-2020,0.008908685968819599
341,Australia,smh.com.au,Apr-2020,0.00756033730735679
342,UK,news.sky.com,Apr-2020,0.014857142857142857
343,Australia,news.com.au,Apr-2020,0.009722222222222222
344,Australia,thewest.com.au,Apr-2020,0.0038131553860819827
345,International,abcnews.go.com,Apr-2020,0.007525083612040134
346,USA,npr.org,Apr-2020,0.009865470852017937
347,UK,theguardian.com,Apr-2020,0.006382579312934109
348,Australia,afr.com,Apr-2020,0.00625
349,Canada,ctvnews.ca,Apr-2020,0.00944733112895607
350,UK,scotsman.com,Apr-2020,0.010638297872340425
351,USA,foxnews.com,Apr-2020,0.00676873489121676
352,UK,thetimes.co.uk,May-2020,0.006309590577678071
353,USA,foxnews.com,May-2020,0.008017817371937639
354,Australia,news.com.au,May-2020,0.009389671361502348
355,Canada,thestar.com,May-2020,0.005865102639296188
356,UK,mirror.co.uk,May-2020,0.004459443172230927
357,Canada,ctvnews.ca,May-2020,0.013513513513513514
358,New Zealand,newshub.co.nz,May-2020,0.005087209302325582
359,New Zealand,rnz.co.nz,May-2020,0.01168736303871439
360,Canada,globalnews.ca,May-2020,0.008185899128597835
361,UK,independent.co.uk,May-2020,0.01066447908121411
362,USA,breitbart.com,May-2020,0.009018857611369226
363,Ireland,irishexaminer.com,May-2020,0.008381689232753063
364,UK,liverpoolecho.co.uk,May-2020,0.002591792656587473
365,USA,huffpost.com,May-2020,0.010943199583116207
366,UK,express.co.uk,May-2020,0.00723725613593455
367,USA,cbsnews.com,May-2020,0.026823134953897737
368,Australia,smh.com.au,May-2020,0.012363023321157629
369,Canada,torontosun.com,May-2020,0.0038147138964577656
370,New Zealand,stuff.co.nz,May-2020,0.007273482959268496
371,UK,standard.co.uk,May-2020,0.006004945249028612
372,UK,metro.co.uk,May-2020,0.003541269408880414
373,New Zealand,nzherald.co.nz,May-2020,0.006340579710144928
374,UK,bbc.com,May-2020,0.01171875
375,Ireland,breakingnews.ie,May-2020,0.01
376,Australia,afr.com,May-2020,0.010082150858849889
377,International,wnd.com,May-2020,0.01455604075691412
378,USA,slate.com,May-2020,0.011019283746556474
379,International,aljazeera.com,May-2020,0.015285126396237508
380,USA,msnbc.com,May-2020,0.02977346278317152
381,USA,chicagotribune.com,May-2020,0.005339028296849973
382,Australia,sbs.com.au,May-2020,0.01348747591522158
383,USA,time.com,May-2020,0.010180995475113122
384,UK,telegraph.co.uk,May-2020,0.0091164095371669
385,International,euronews.com,May-2020,0.022128556375131718
386,USA,inquirer.com,May-2020,0.011178861788617886
387,Australia,abc.net.au,May-2020,0.01464513706346226
388,USA,thehill.com,May-2020,0.020531807472231572
389,Ireland,irishmirror.ie,May-2020,0.001443001443001443
390,UK,channel4.com,May-2020,0.012987012987012988
391,USA,washingtonpost.com,May-2020,0.010902094912355708
392,Ireland,independent.ie,May-2020,0.00392156862745098
393,Canada,vancouversun.com,May-2020,0.01090909090909091
394,UK,dailystar.co.uk,May-2020,0.0029782359679266894
395,Canada,macleans.ca,May-2020,0.011904761904761904
396,USA,nytimes.com,May-2020,0.022395833333333334
397,UK,morningstaronline.co.uk,May-2020,0.007575757575757576
398,USA,bostonglobe.com,May-2020,0.008919015340706386
399,Australia,9news.com.au,May-2020,0.012462908011869436
400,USA,latimes.com,May-2020,0.007802746566791511
401,UK,itv.com,May-2020,0.009698275862068966
402,Canada,cbc.ca,May-2020,0.016140865737344093
403,USA,westernjournal.com,May-2020,0.0045045045045045045
404,USA,npr.org,May-2020,0.016791044776119403
405,USA,theatlantic.com,May-2020,0.0028530670470756064
406,USA,apnews.com,May-2020,0.005023863350916855
407,USA,politico.com,May-2020,0.018900343642611683
408,UK,walesonline.co.uk,May-2020,0.0021019442984760903
409,USA,wsj.com,May-2020,0.016929133858267716
410,Ireland,rte.ie,May-2020,0.011379800853485065
411,International,reuters.com,May-2020,0.01316895488932474
412,Ireland,thejournal.ie,May-2020,0.004914004914004914
413,USA,businessinsider.com,May-2020,0.013522215067611075
414,UK,economist.com,May-2020,0.0
415,France,france24.com,May-2020,0.01080737444373808
416,Ireland,thesun.ie,May-2020,0.005636743215031315
417,UK,theguardian.com,May-2020,0.007705008255365988
418,USA,washingtontimes.com,May-2020,0.013494648673801768
419,UK,thesun.co.uk,May-2020,0.004342273307790549
420,Australia,theage.com.au,May-2020,0.010425240054869684
421,International,nbcnews.com,May-2020,0.019114688128772636
422,USA,newsweek.com,May-2020,0.012537993920972644
423,Australia,thewest.com.au,May-2020,0.005442176870748299
424,USA,csmonitor.com,May-2020,0.0028089887640449437
425,International,edition.cnn.com,May-2020,0.013319126265316995
426,USA,usatoday.com,May-2020,0.005787037037037037
427,UK,news.sky.com,May-2020,0.012141280353200883
428,UK,dailymail.co.uk,May-2020,0.004548504958616062
429,International,upi.com,May-2020,0.012285012285012284
430,USA,nypost.com,May-2020,0.008004131164471986
431,International,rt.com,May-2020,0.015211267605633802
432,International,cnbc.com,May-2020,0.035290714492334396
433,International,news.yahoo.com,May-2020,0.023353118614381628
434,New Zealand,scoop.co.nz,May-2020,0.00966183574879227
435,German,dw.com,May-2020,0.019983347210657785
436,UK,scotsman.com,May-2020,0.0034207525655644243
437,Canada,theglobeandmail.com,May-2020,0.012718600953895072
438,Ireland,irishtimes.com,May-2020,0.007806691449814126
439,International,abcnews.go.com,May-2020,0.011783827712312069
440,UK,thesun.co.uk,Jun-2020,0.002875816993464052
441,Canada,ctvnews.ca,Jun-2020,0.01018149623727313
442,UK,scotsman.com,Jun-2020,0.002912621359223301
443,UK,independent.co.uk,Jun-2020,0.005907837731390311
444,UK,dailystar.co.uk,Jun-2020,0.0003899395593682979
445,UK,telegraph.co.uk,Jun-2020,0.0046210720887245845
446,USA,time.com,Jun-2020,0.005235602094240838
447,USA,bostonglobe.com,Jun-2020,0.0048689138576779025
448,Australia,afr.com,Jun-2020,0.0022363026462914647
449,USA,businessinsider.com,Jun-2020,0.006081668114682885
450,USA,chicagotribune.com,Jun-2020,0.0027816411682892906
451,New Zealand,nzherald.co.nz,Jun-2020,0.0029351335485764602
452,Canada,globalnews.ca,Jun-2020,0.00583171341294085
453,Australia,theage.com.au,Jun-2020,0.003613118399110617
454,Ireland,rte.ie,Jun-2020,0.0013623978201634877
455,Ireland,irishtimes.com,Jun-2020,0.004372687521022536
456,Canada,macleans.ca,Jun-2020,0.0
457,USA,newsweek.com,Jun-2020,0.006097560975609756
458,New Zealand,newshub.co.nz,Jun-2020,0.0
459,USA,slate.com,Jun-2020,0.004178272980501393
460,Ireland,independent.ie,Jun-2020,0.003970880211780278
461,Australia,smh.com.au,Jun-2020,0.0033048746901679976
462,Ireland,irishexaminer.com,Jun-2020,0.00546448087431694
463,France,france24.com,Jun-2020,0.0070126227208976155
464,UK,walesonline.co.uk,Jun-2020,0.0
465,UK,standard.co.uk,Jun-2020,0.0021015761821366026
466,USA,breitbart.com,Jun-2020,0.0015868817773075905
