,Brand,Vader
740,Pfizer,-0.5483
741,Moderna,-0.5483
742,AstraZeneca,0.6908
743,Biontech,0.0
744,Pfizer,0.0
745,Moderna,0.0
746,AstraZeneca,-0.9081
747,Pfizer,0.8636
748,Sputnik V,0.8636
749,Pfizer,0.7003
750,Johnson & Johnson,0.4019
751,Pfizer,0.5574
752,AstraZeneca,-0.8316
753,AstraZeneca,0.5187
754,Pfizer,-0.9062
755,Biontech,0.6353
756,Pfizer,0.6353
757,Pfizer,0.836
758,Moderna,0.296
759,Biontech,0.1027
760,Pfizer,0.1027
761,Pfizer,0.7184
762,Biontech,0.5423
763,Pfizer,0.5423
764,AstraZeneca,0.0
765,Biontech,0.0
766,Moderna,-0.7469
767,Pfizer,-0.1531
768,AstraZeneca,-0.25
769,Moderna,-0.296
770,Moderna,0.5994
771,Pfizer,0.4215
772,Moderna,0.6597
773,Pfizer,0.8555
774,AstraZeneca,0.8361
775,Moderna,0.4019
776,Johnson & Johnson,0.5106
777,AstraZeneca,-0.1531
778,Johnson & Johnson,0.0
779,AstraZeneca,-0.9062
780,Biontech,0.34
781,Pfizer,0.34
782,Biontech,0.9217
783,Pfizer,0.9217
784,Biontech,0.0772
785,Pfizer,0.0772
786,Moderna,0.0772
787,Moderna,0.7096
788,AstraZeneca,0.0
789,Pfizer,-0.5859
790,AstraZeneca,-0.6808
791,Moderna,0.8271
792,Biontech,-0.6369
793,Pfizer,-0.6369
794,Moderna,0.0
795,AstraZeneca,0.4215
796,AstraZeneca,0.296
797,Pfizer,-0.9037
798,AstraZeneca,-0.9287
799,AstraZeneca,0.0
800,Biontech,0.0
801,Pfizer,0.0
802,Biontech,0.0
803,Pfizer,0.0
804,Moderna,-0.8176
805,Pfizer,0.0018
806,Moderna,0.2808
807,Moderna,0.836
808,AstraZeneca,0.128
809,AstraZeneca,0.4215
810,Moderna,0.4215
811,AstraZeneca,0.0772
812,Biontech,0.4215
813,Pfizer,0.4215
814,Pfizer,0.8402
815,Pfizer,0.5267
816,Sputnik V,0.7665
817,Pfizer,0.3167
818,Moderna,0.3167
819,Pfizer,0.7096
820,Sputnik V,0.0
821,AstraZeneca,-0.4587999999999999
822,Biontech,-0.296
823,Pfizer,-0.296
824,AstraZeneca,-0.1548
825,AstraZeneca,-0.5152
826,Pfizer,0.4215
827,AstraZeneca,-0.8658
828,AstraZeneca,0.34
829,Pfizer,0.0
830,Pfizer,0.0
831,Biontech,0.4215
832,Pfizer,0.4215
833,Biontech,0.5106
834,Pfizer,0.5106
835,AstraZeneca,-0.5994
836,AstraZeneca,0.4019
837,Pfizer,0.0
838,AstraZeneca,0.5849
839,AstraZeneca,0.0
840,Biontech,0.0
841,Pfizer,0.0
842,Pfizer,0.5209
843,AstraZeneca,-0.6124
844,Biontech,0.8225
845,Pfizer,0.8225
846,AstraZeneca,-0.2382
847,Pfizer,0.3182
848,AstraZeneca,0.1531
849,Pfizer,0.1531
850,AstraZeneca,-0.079
851,Sputnik V,0.8837
852,Pfizer,0.8537
853,Moderna,0.8537
854,Johnson & Johnson,0.6808
855,AstraZeneca,-0.3818
856,AstraZeneca,-0.5943
857,Pfizer,0.8074
858,Moderna,0.8074
859,AstraZeneca,0.6908
860,Pfizer,-0.954
861,Sputnik V,0.765
862,Moderna,0.0
863,AstraZeneca,0.0
864,Moderna,-0.0516
865,AstraZeneca,-0.4939
866,Pfizer,0.6597
867,Pfizer,0.34
868,Moderna,0.34
869,AstraZeneca,-0.2732
870,Pfizer,-0.0258
871,Pfizer,0.7089
872,Moderna,0.7089
873,Johnson & Johnson,0.7089
874,Johnson & Johnson,0.0
875,Biontech,-0.6705
876,Pfizer,-0.6705
877,Pfizer,0.4215
878,Pfizer,0.0
879,Pfizer,-0.6866
880,AstraZeneca,0.5267
881,Pfizer,-0.9011
882,Moderna,-0.9011
883,AstraZeneca,-0.6597
884,Pfizer,-0.4635
885,Biontech,-0.3415
886,Pfizer,-0.3415
887,Pfizer,0.0
888,Biontech,0.0
889,Pfizer,0.0
890,AstraZeneca,0.0
891,Moderna,0.4791
892,AstraZeneca,0.0
893,Biontech,0.4766999999999999
894,Pfizer,0.4766999999999999
895,Moderna,0.4766999999999999
896,Moderna,0.743
897,Pfizer,0.0
898,AstraZeneca,0.0
899,Pfizer,0.4939
900,Biontech,0.6801
901,AstraZeneca,0.6705
902,Biontech,0.0
903,Pfizer,0.0
904,Moderna,0.6124
905,Moderna,0.34
906,Johnson & Johnson,0.5106
907,Pfizer,0.5346
908,Sputnik V,0.7964
909,Biontech,0.694
910,Pfizer,0.694
911,Biontech,0.0
912,Pfizer,0.0
913,Moderna,0.0
914,Pfizer,-0.824
915,Biontech,0.7096
916,Pfizer,0.7096
917,Biontech,0.0772
918,Pfizer,0.0772
919,AstraZeneca,-0.8158
920,AstraZeneca,0.0
921,Pfizer,0.4215
922,Moderna,0.4215
923,Moderna,0.7184
924,Biontech,0.6249
925,Pfizer,0.6249
926,Pfizer,0.8402
927,AstraZeneca,-0.34
928,Johnson & Johnson,0.0516
929,AstraZeneca,0.4404
930,AstraZeneca,0.9109
931,Pfizer,0.2732
932,Johnson & Johnson,0.4588
933,AstraZeneca,-0.8934
934,AstraZeneca,0.7003
935,Pfizer,-0.8807
936,AstraZeneca,0.6908
937,Johnson & Johnson,-0.3818
938,Pfizer,0.5574
939,Biontech,-0.1531
940,Pfizer,-0.1531
941,Moderna,-0.079
942,Sputnik V,0.8625
943,Sputnik V,-0.9153
944,Biontech,0.34
945,Pfizer,0.34
946,AstraZeneca,-0.296
947,Biontech,-0.296
948,Pfizer,-0.296
949,Moderna,0.7964
950,AstraZeneca,0.8387
951,Biontech,0.8834
952,Pfizer,0.8834
953,Biontech,0.7906
954,Pfizer,0.7906
955,Moderna,0.3612
956,Moderna,0.7311
957,AstraZeneca,0.0516
958,AstraZeneca,0.3612
959,Sputnik V,0.7351
960,AstraZeneca,-0.6908
961,Sputnik V,0.2023
962,Pfizer,0.9682
963,Biontech,-0.4215
964,Pfizer,-0.4215
965,Pfizer,0.2023
966,Moderna,0.2023
967,Sputnik V,0.6369
968,AstraZeneca,0.4973
